Reference GeoSymbio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;Gene;Accession number;Host_Phylum;Host_Class;Host_Order;Host_Family;Host_Genus;Host_Species;Host_Sci_Name;Ocean;Country;StateRegion;Latitude;Longitude;Reference;;Accession number;Host_Species_code;Country;year;sample_number;;;;;;;;;;;;;;;
A13;ITS2;AF333504;Cnidaria;Anthozoa;Scleractinia;Faviidae;Montastraea;annularis;Montastraea annularis;Caribbean;Barbados;N_A;13.065258;-59.39125;LaJeunesse_2009_Proc_Royal_Soc_B_276_4139;;AF333504;Oannularis;Bar;2007;1;;;;;;;;;;;;;;;
A13;ITS2;AF333504;Cnidaria;Anthozoa;Scleractinia;Faviidae;Montastraea;annularis;Montastraea annularis;Caribbean;Barbados;N_A;13.065258;-59.39125;LaJeunesse_2009_Proc_Royal_Soc_B_276_4139;;AF333504;Oannularis;Bar;2007;2;;;;;;;;;;;;;;;
A3;ITS2;DQ838546;Cnidaria;Anthozoa;Scleractinia;Faviidae;Montastraea;franksi;Montastraea franksi;Caribbean;Panama;Bocas del Toro;9.33533611;-82.25432222;Garren_2006_Coral_Reefs_25_503;;DQ838546;Ofranksi;Pan;2002;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;cervicornis;Acropora cervicornis;Caribbean;United States;Florida;25.479113;-80.231676;Bielmyer_2010_Aqua_Tox_97_125;;AF333507;Acervicornis;Flo;2005;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;cervicornis;Acropora cervicornis;Caribbean;Colombia;Cartagena;10.141381;-75.930156;Camargo_2009_Biodivers_Conserv_18_935;;AF333507;Acervicornis;Col;2006;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Siderastreidae;Siderastrea;siderea;Siderastrea siderea;Caribbean;United States;Florida;24.776438;-80.717769;Correa_2009_Coral_Reefs_28_437;;AF333507;Ssiderea;Flo;2006;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Siderastreidae;Siderastrea;siderea;Siderastrea siderea;Caribbean;United States;Florida;24.776438;-80.717769;Correa_2009_Coral_Reefs_28_437;;AF333507;Ssiderea;Flo;2006;2;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;cervicornis;Acropora cervicornis;Caribbean;Belize;Western Caribbean;16.480001;-88.045999;Finney_2010_Microb_Ecol_60_250;;AF333507;Acervicornis;Bel;2003;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;cervicornis;Acropora cervicornis;Caribbean;Belize;Western Caribbean;16.480001;-88.045999;Finney_2010_Microb_Ecol_60_250;;AF333507;Acervicornis;Bel;2003;2;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;palmata;Acropora palmata;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF333507;Apalmata;Bar;2005;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;palmata;Acropora palmata;Caribbean;Belize;Western Caribbean;16.480001;-88.045999;Finney_2010_Microb_Ecol_60_250;;AF333507;Apalmata;Bel;2003;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;palmata;Acropora palmata;Caribbean;Belize;Western Caribbean;16.480001;-88.045999;Finney_2010_Microb_Ecol_60_250;;AF333507;Apalmata;Bel;2003;2;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;divaricata;Porites divaricata;Caribbean;Belize;Western Caribbean;16.480001;-88.045999;Finney_2010_Microb_Ecol_60_250;;AF333507;Pdivaricata;Bel;2003;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;porites;Porites porites;Caribbean;Belize;Western Caribbean;16.480001;-88.045999;Finney_2010_Microb_Ecol_60_250;;AF333507;Pporites;Bel;2003;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Siderastreidae;Siderastrea;radians;Siderastrea radians;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF333507;Sradians;Bar;2005;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Siderastreidae;Siderastrea;radians;Siderastrea radians;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF333507;Sradians;Bar;2005;2;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Astrocoeniidae;Stephanocoenia;intersepta;Stephanocoenia intersepta;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF333507;Sintercepta;Bar;2005;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;cervicornis;Acropora cervicornis;Caribbean;Mexico;Quintana Roo;20.5;-86.52;LaJeunesse_2002_Mar_Biol_141_387;;AF333507;Acervicornis;Mex;1999;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;cervicornis;Acropora cervicornis;Caribbean;Bahamas;Exuma Islands;23.76725556;-76.09464167;LaJeunesse_2002_Mar_Biol_141_387;;AF333507;Acervicornis;Bah;1999;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;palmata;Acropora palmata;Caribbean;Mexico;Quintana Roo;20.5;-86.52;LaJeunesse_2002_Mar_Biol_141_387;;AF333507;Apalmata;Mex;1999;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;palmata;Acropora palmata;Caribbean;Bahamas;Exuma Islands;23.76725556;-76.09464167;LaJeunesse_2002_Mar_Biol_141_387;;AF333507;Apalmata;Bah;1999;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Mexico;Quintana Roo;20.5;-86.52;LaJeunesse_2002_Mar_Biol_141_387;;AF333507;Pastreoides;Mex;1999;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Astrocoeniidae;Stephanocoenia;intersepta;Stephanocoenia intersepta;Caribbean;Bahamas;Exuma Islands;23.76725556;-76.09464167;LaJeunesse_2002_Mar_Biol_141_387;;AF333507;Sintercepta;Bah;1999;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Astrocoeniidae;Stephanocoenia;intersepta;Stephanocoenia intersepta;Caribbean;Mexico;Quintana Roo;20.5;-86.52;LaJeunesse_2002_Mar_Biol_141_387;;AF333507;Sintercepta;Mex;1999;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;cervicornis;Acropora cervicornis;Caribbean;Bahamas;Exuma Islands;23.76725556;-76.09464167;Thornhill_2006_Mar_Biol_148_711;;AF333507;Acervicornis;Bah;2004;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;cervicornis;Acropora cervicornis;Caribbean;United States;Florida;24.59;-80.22;Thornhill_2006_Mar_Biol_148_711;;AF333507;Acervicornis;Flo;2004;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;cervicornis;Acropora cervicornis;Caribbean;United States;Florida;24.59;-80.22;Thornhill_2006_Mar_Biol_148_711;;AF333507;Acervicornis;Flo;2004;2;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;palmata;Acropora palmata;Caribbean;Bahamas;Exuma Islands;23.76725556;-76.09464167;Thornhill_2006_Mar_Biol_148_711;;AF333507;Apalmata;Bah;2004;1;;;;;;;;;;;;;;;
A3;ITS2;AF333507;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;palmata;Acropora palmata;Caribbean;United States;Florida;24.59;-80.22;Thornhill_2006_Mar_Biol_148_711;;AF333507;Apalmata;Flo;2004;1;;;;;;;;;;;;;;;
A3;ITS2;AF499789;Cnidaria;Anthozoa;Scleractinia;Faviidae;Montastraea;faveolata;Montastraea faveolata;Caribbean;Mexico;Quintana Roo;20.522877;-86.510453;DeSalvo_2010_Mol_Ecol_19_1174;;AF499789;Ofaveolata;Mex;2007;1;;;;;;;;;;;;;;;
A3;ITS2;AF499789;Cnidaria;Anthozoa;Scleractinia;Faviidae;Montastraea;faveolata;Montastraea faveolata;Caribbean;Mexico;Quintana Roo;20.522877;-86.510453;DeSalvo_2010_Mol_Ecol_19_1174;;AF499789;Ofaveolata;Mex;2007;2;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Colombia;Cartagena;10.141381;-75.930156;Camargo_2009_Biodivers_Conserv_18_935;;AF333509;Pastreoides;Col;2006;1;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF333509;Pastreoides;Bar;2005;1;;;;;;;;;;;;;;;
A4;ITS2;AF333509;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites;astreoides;Porites astreoides;Caribbean;Barbados;Eastern Caribbean;13.113952;-59.323522;Finney_2010_Microb_Ecol_60_250;;AF333509;Pastreoides;Bar;2005;2;;;;;;;;;;;;;;;
