Year;meanSST;SST_intervals;SST_intervals_V2;SST_intervals_V3;bleaching_year;DHM;nb of records;>50records;shannonindex;pielouindex;nb severe (>30%) bleaching;severe bleaching events;nb moderate(<30%) bleaching;total nb bleaching events;grouping of nbr of bleaching events;prevalence of severe bleaching events;grouping of prevalence;SST2;SST2intervals;ErSST data;ErSST data bs;OiSST data;OiSST data bs;Coral Temp SST;nb symb species;ACE;Shannon_SRS_data;richness host species;richness host species with DUR
1994;27,72898417;27,70_27,79;27,60_27,89;27,69_27,91;no;0;5;0;0;0;0;no;2;2;1;0;1;26,82617103;<27;26,82617103;27,68567078;26,94604786;27,09747103;26,7796;1;32;0;5;
1995;28,12273;28,10_28,19;27,90_28,39;27,91_28,13;yes;0;0;0;0;0;8;yes;6;14;3;57,14;4;26,9656083;<27;26,9656083;27,84830181;27,14954197;27,12400343;26,7023;1;228;0;2;
1998;28,2773125;28,20_28,29;27,90_28,39;28,13_28,35;yes;0;1;0;0;0;13;yes;7;20;3;65;4;27,13515642;>27;27,13515642;28,1164871;27,34109402;28,24107332;26,4035;1;182;0;1;
1999;27,95445;27,90_27,99;27,90_28,39;27,91_28,13;yes;0;91;1;2,752633647;0,912797491;0;no;7;7;2;0;1;26,89851302;<27;26,89851302;27,77660952;27,02619816;27,83647531;26,649;25;177;2,303488495;92;10
2000;27,69884333;27,60_27,69;27,60_27,89;27,69_27,91;no;0;8;0;1,08219553;0,358865542;0;no;5;5;1;0;1;26,77869152;<27;26,77869152;27,87975876;26,89112676;27,92984106;26,5947;3;119;0;8;6
2001;27,77551333;27,70_27,79;27,60_27,89;27,69_27,91;no;0;5;0;1,609437912;0,533703746;0;no;2;2;1;0;1;26,81994543;<27;26,81994543;27,82409118;26,94218309;27,91860006;26,5846;5;110;0;5;2
2002;27,8959525;27,80_27,89;27,60_27,89;27,69_27,91;no;0;19;0;1,676530964;0,555952391;0;no;4;4;1;0;1;27,0400013;>27;27,0400013;28,0475421;27,17967367;28,15037996;26,8542;8;67;1,806507165;20;4
2003;28,0961075;28,0_28,09;27,90_28,39;27,91_28,13;no;0;109;1;3,015601678;1;1;yes;9;10;3;10;2;27,14567306;>27;27,14567306;28,06016578;27,27622976;28,1692604;27,0214;34;176;2,268605286;108;10
2004;27,970095;27,90_27,99;27,90_28,39;27,91_28,13;no;0;24;0;1,53677022;0,509606501;0;no;5;5;1;0;1;26,9231058;<27;26,9231058;27,8628833;27,02111194;27,93730929;26,6304;6;227;1,617053153;24;1
2005;28,35496917;28,30_28,39;27,90_28,39;28,13_28,35;yes;0;194;1;2,729175588;0,905018593;14;yes;6;20;3;70;4;27,10195604;>27;27,10195604;28,1573677;27,22706293;28,24910066;26,1487;32;250;2,026229623;194;25
2006;28,142225;28,10_28,19;27,90_28,39;28,13_28,35;no;0;68;1;2,712641506;0,899535746;1;yes;6;7;1;14,29;2;27,0343667;>27;27,0343667;28,14928172;27,20307749;28,29846108;26,4726;20;79;2,488327743;71;10
2007;28,17799583;28,10_28,19;27,90_28,39;28,13_28,35;no;0;95;1;2,41250365;0,800007397;0;no;5;5;1;0;1;27,11740608;>27;27,11740608;28,01681823;27,28474805;28,16640995;26,6621;18;74;2,303488495;95;22
2008;27,90731;27,90_27,99;27,90_28,39;27,69_27,91;no;0;1;0;0;0;1;yes;4;5;1;20;2;26,86730128;<27;26,86730128;27,7523773;27,01461677;27,83600724;26,8565;1;146;0;1;
2009;27,839775;27,80_27,89;27,60_27,89;27,69_27,91;no;0;7;0;1,351783994;0,448263444;2;yes;4;6;2;33,33;3;26,94207595;<27;26,94207595;28,21090249;27,03836738;28,25830745;26,1675;4;53;0;7;
