Year;unknown_s;A13;A3;A4;A4.1;A4.2;A4.3;A4a;A4a.1;A4porites;B1;B10;B13;B15;B17;B1e;B1j;B1k;B20;B24;B35;B38;B5;B5a;B6;B7;B9;C1;C10;C11;C12;C16;C1a;C1j;C3;C34;C3a;C3b;C3c;C3d;C3e;C3g;C3L;C3o;C3p;C3q;C4;C46;C46a;C47;C48;C49;C52;C53;C54;C6;C7;C7a;C80;C81;C82;C82b;C83;C9;D1;D1a
1994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1995;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1998;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1999;0;0;7;3;0;0;0;2;0;0;18;1;0;0;0;0;0;0;0;0;0;0;2;2;2;2;1;9;1;2;2;0;1;0;13;0;6;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;5;5
2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
2001;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2002;1;0;2;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;3;1
2003;0;0;6;0;0;0;0;0;0;0;18;0;0;0;1;1;0;0;1;1;0;1;1;0;2;7;0;3;0;4;3;1;2;2;18;0;6;0;1;0;2;1;1;0;0;0;4;1;1;1;2;2;1;1;1;0;2;0;0;0;0;0;0;0;5;5
2004;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2005;0;0;5;6;0;0;0;4;0;1;44;1;3;3;0;0;4;1;0;0;1;0;2;0;0;22;0;0;0;1;3;0;0;0;31;1;0;3;0;0;0;0;0;1;1;3;0;1;1;0;0;0;0;0;0;0;6;7;1;5;5;1;1;0;11;14
2006;3;0;5;5;3;1;3;4;3;0;13;2;0;1;2;0;0;0;0;0;0;0;3;3;0;2;0;0;0;0;1;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5
2007;0;2;2;0;0;0;0;0;0;0;2;0;0;0;5;0;2;0;0;0;0;0;2;1;0;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;15;2;0;2;0;0;0;0;11;11
2008;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2009;0;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
